통계기준월,시군구,연료별,용도별,승    용,승    합,화    물,특    수,계
201806,서울특별시 양천구,기타연료,비사업용,2,41,149,5,197
201806,서울특별시 양천구,기타연료,사업용,0,0,46,0,46
201806,서울특별시 양천구,엘피지,비사업용,"8,550",855,"1,135",1,"10,541"
201806,서울특별시 양천구,엘피지,사업용,"4,546",3,232,0,"4,781"
201806,서울특별시 양천구,전기,비사업용,114,0,1,0,115
201806,서울특별시 양천구,전기,사업용,6,0,0,0,6
201806,서울특별시 양천구,하이브리드(LPG+전기),비사업용,100,0,0,0,100
201806,서울특별시 양천구,하이브리드(경유+전기),비사업용,2,0,0,0,2
201806,서울특별시 양천구,하이브리드(휘발유+전기),비사업용,"2,681",0,0,0,"2,681"
201806,서울특별시 양천구,하이브리드(휘발유+전기),사업용,2,0,0,0,2
201806,서울특별시 양천구,휘발유,비사업용,"33,797",12,28,0,"33,837"
201806,서울특별시 양천구,휘발유,사업용,13,0,0,0,13
201806,서울특별시 양천구,휘발유(무연),비사업용,"43,862",20,33,0,"43,915"
201806,서울특별시 양천구,휘발유(무연),사업용,74,0,0,0,74
201806,서울특별시 양천구,휘발유(유연),비사업용,38,0,0,0,38
201807,서울특별시 양천구,계,계,"128,764","5,451","15,936",562,"150,713"
201807,서울특별시 양천구,CNG,비사업용,22,2,19,0,43
201807,서울특별시 양천구,CNG,사업용,1,632,0,0,633
201807,서울특별시 양천구,경유,비사업용,"34,932","3,710","11,978",132,"50,752"
201807,서울특별시 양천구,경유,사업용,61,175,"2,335",425,"2,996"
201807,서울특별시 양천구,기타연료,비사업용,2,42,148,4,196
201807,서울특별시 양천구,기타연료,사업용,0,0,47,0,47
