사용본거지법정동명,연료,200912 승용 비사업용,200912 승용 사업용,200912 승합 비사업용,200912 승합 사업용,200912 특수 비사업용,200912 특수 사업용,200912 화물 비사업용,200912 화물 사업용,201012 승용 비사업용,201012 승용 사업용,201012 승합 비사업용,201012 승합 사업용,201012 특수 비사업용,201012 특수 사업용,201012 화물 비사업용,201012 화물 사업용,201112 승용 비사업용,201112 승용 사업용,201112 승합 비사업용,201112 승합 사업용,201112 특수 비사업용,201112 특수 사업용,201112 화물 비사업용,201112 화물 사업용,201212 승용 비사업용,201212 승용 사업용,201212 승합 비사업용,201212 승합 사업용,201212 특수 비사업용,201212 특수 사업용,201212 화물 비사업용,201212 화물 사업용,201312 승용 비사업용,201312 승용 사업용,201312 승합 비사업용,201312 승합 사업용,201312 특수 비사업용,201312 특수 사업용,201312 화물 비사업용,201312 화물 사업용,201412 승용 비사업용,201412 승용 사업용,201412 승합 비사업용,201412 승합 사업용,201412 특수 비사업용,201412 특수 사업용,201412 화물 비사업용,201412 화물 사업용,201512 승용 비사업용,201512 승용 사업용,201512 승합 비사업용,201512 승합 사업용,201512 특수 비사업용,201512 특수 사업용,201512 화물 비사업용,201512 화물 사업용,201612 승용 비사업용,201612 승용 사업용,201612 승합 비사업용,201612 승합 사업용,201612 특수 비사업용,201612 특수 사업용,201612 화물 비사업용,201612 화물 사업용,201712 승용 비사업용,201712 승용 사업용,201712 승합 비사업용,201712 승합 사업용,201712 특수 비사업용,201712 특수 사업용,201712 화물 비사업용,201712 화물 사업용,201812 승용 비사업용,201812 승용 사업용,201812 승합 비사업용,201812 승합 사업용,201812 특수 비사업용,201812 특수 사업용,201812 화물 비사업용,201812 화물 사업용
서울특별시 영등포구 도림동,휘발유(무연),1670,,5,,,,3,,1468,,5,,,,2,,1436,,5,,,,2,,1437,,5,,,,2,,1405,1,4,,,,1,,1579,1,3,,,,1,,1620,1,3,,,,1,,1607,3,4,,,,1,,1576,8,4,,,,1,,1584,39,2,,,,1,
서울특별시 영등포구 도림동,휘발유(유연),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,4,,,,,,,,4,,,,,,,
서울특별시 영등포구 문래동1가,CNG,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,
서울특별시 영등포구 문래동1가,경유,57,,20,,,6,158,20,52,,22,,,8,151,21,41,,20,,,8,139,21,36,,22,,,9,134,21,42,,25,,,9,129,22,46,,21,,,9,135,18,48,,22,,,9,136,16,48,,21,,,6,138,14,45,,20,,,4,139,14,55,,20,,,4,144,14
서울특별시 영등포구 문래동1가,기타연료,,,,,,,6,,,,,,,,6,5,,,,,,,6,5,,,,,,,6,4,,,,,,,6,9,,,,,,,1,12,,,,,,,,12,,,,,,,,9,,,,,,,1,9,,,,,,,,9
서울특별시 영등포구 문래동1가,엘피지,18,,11,,,,28,,21,,10,,,,27,,19,,8,,,,23,,18,,9,,,,18,,21,,9,,,,15,,20,,6,,,,16,,16,1,7,,,,14,,19,1,6,,,,12,,17,1,5,,,,10,1,15,1,4,,,,7,
서울특별시 영등포구 문래동1가,전기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
서울특별시 영등포구 문래동1가,하이브리드(휘발유+전기),,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,4,,,,,,,,5,,,,,,,,5,,,,,,,,8,,,,,,,
서울특별시 영등포구 문래동1가,휘발유,81,,,,,,,,83,,,,,,,,81,,,,,,,,77,,,,,,,,76,,,,,,,,77,,,,,,,,73,,,,,,,,74,,,,,,,,73,,,,,,,,71,,,,,,,
서울특별시 영등포구 문래동1가,휘발유(무연),85,,,,,,,,88,,,,,,,,87,,,,,,,,85,,,,,,,,84,,,,,,,,87,,,,,,,,87,,,,,,,,87,,,,,,,,90,,,,,,,,103,,,,,,,
서울특별시 영등포구 문래동2가,경유,112,,22,,,,166,6,115,,21,,,,157,43,109,,18,,,,150,45,108,,22,,,1,139,99,108,,27,,,1,133,105,118,,23,,,1,130,108,126,,20,,,1,122,110,120,,20,,,1,121,113,127,,12,,,1,111,111,122,,10,,1,2,112,110
서울특별시 영등포구 문래동2가,기타연료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1
서울특별시 영등포구 문래동2가,엘피지,43,6,18,,,,23,1,35,5,17,,,,22,,30,5,16,,,,21,,28,5,14,,,,18,,32,5,15,,,,13,,33,4,14,,,,10,,37,4,8,,,,9,,35,3,8,,,,7,,37,4,7,,,,6,,34,4,7,,,,10,
서울특별시 영등포구 문래동2가,하이브리드(휘발유+전기),,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,3,,,,,,,,4,,,,,,,,5,,,,,,,,9,,,,,,,,13,,,,,,,
서울특별시 영등포구 문래동2가,휘발유,128,,,,,,,,135,,,,,,,,135,,,,,,,,124,,,,,,,,126,,,,,,,,118,,,,,,,,117,,,,,,,,114,,,,,,,,110,,,,,,,,112,,,,,,,
서울특별시 영등포구 문래동2가,휘발유(무연),198,,,,,,,,188,,,,,,,,198,,,,,,,,209,,,,,,,,201,,,,,,,,185,,,,,,,,177,,,,,,,,173,,,,,,,,176,,,,,,,,176,,,,,,,
서울특별시 영등포구 문래동3가,CNG,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 영등포구 문래동3가,경유,918,,98,1,11,1,634,109,989,,99,,7,2,721,339,1002,,107,,6,2,718,257,1045,,119,,9,2,714,253,1093,,121,,9,18,821,349,1142,,124,,6,18,764,349,1242,,121,,7,25,741,208,1312,,110,,12,5,743,157,1348,,113,,11,8,722,107,1363,,110,,12,8,663,111
서울특별시 영등포구 문래동3가,기타연료,,,,,,,5,37,,,,,,,5,37,,,,,,,1,35,,,,,,,4,33,,,1,,,,10,34,,,2,,,,21,25,,,1,,,,33,24,,,3,,,,48,17,,,2,,,,50,16,,,2,,,,45,6
서울특별시 영등포구 문래동3가,엘피지,313,20,113,,1,,94,6,307,17,78,,,,91,10,307,16,71,,,,77,9,284,16,57,,,,74,9,263,17,47,,,,65,10,259,15,44,,,,58,7,238,15,32,,,,50,7,225,14,31,,,,47,6,206,15,21,,,,47,5,195,19,20,,,,45,6
서울특별시 영등포구 문래동3가,전기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,4,,,,,,,
서울특별시 영등포구 문래동3가,하이브리드(LPG+전기),1,,,,,,,,4,,,,,,,,5,,,,,,,,4,,,,,,,,4,,,,,,,,4,,,,,,,,4,,,,,,,,5,,,,,,,,5,,,,,,,,4,,,,,,,
서울특별시 영등포구 문래동3가,하이브리드(휘발유+전기),3,,,,,,,,4,,,,,,,,16,,,,,,,,36,,,,,,,,46,,,,,,,,53,,,,,,,,68,,,,,,,,86,,,,,,,,103,,,,,,,,137,2,,,,,,
서울특별시 영등포구 문래동3가,휘발유,1634,,1,,,,2,,1687,,1,,,,2,,1761,,1,,,,2,,1751,,1,,,,3,,1739,,,,,,3,,1638,,,,,,2,,1643,,,,,,2,,1590,,,,,,3,,1570,,,,,,2,,1505,,,,,,2,
서울특별시 영등포구 문래동3가,휘발유(무연),2099,,2,,,,1,,2000,,2,,,,,,2005,,2,,,,,,1958,,2,,,,,,1952,,2,,,,,,1933,,2,,,,1,,1914,,2,,,,1,,1869,,1,,,,,,1819,,1,,,,1,,1912,42,1,,,,,
서울특별시 영등포구 문래동3가,휘발유(유연),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,1,,,,,,,
서울특별시 영등포구 문래동4가,경유,158,,24,,,,115,7,151,,22,,,,113,6,150,,24,,,,116,6,156,,25,,,,121,7,167,,24,,,,112,9,163,,30,,,,108,8,172,,25,,,,117,8,178,,24,,,,110,7,180,,23,,,,101,5,199,,25,,,,111,6
서울특별시 영등포구 문래동4가,기타연료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
서울특별시 영등포구 문래동4가,엘피지,83,10,30,,,,13,1,81,8,26,,,,14,1,79,8,24,,,,18,1,67,8,20,,,,18,1,59,10,15,,,,16,2,47,11,12,,,,11,4,44,10,8,,,,10,3,41,11,9,,,,12,2,43,11,6,,,,12,2,48,8,6,,,,9,3
서울특별시 영등포구 문래동4가,전기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 영등포구 문래동4가,하이브리드(LPG+전기),,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
서울특별시 영등포구 문래동4가,하이브리드(휘발유+전기),1,,,,,,,,2,,,,,,,,2,,,,,,,,5,,,,,,,,6,,,,,,,,5,,,,,,,,9,,,,,,,,12,,,,,,,,23,,,,,,,,24,,,,,,,
서울특별시 영등포구 문래동4가,휘발유,188,,,,,,1,,186,,,,,,1,,217,,,,,,1,,210,,,,,,,,203,,,,,,,,194,,,,,,,,206,,,,,,,,191,,,,,,,,187,,,,,,,,165,,,,,,1,
서울특별시 영등포구 문래동4가,휘발유(무연),280,,,,,,1,,278,,,,,,1,,269,,,,,,1,,260,,,,,,1,,258,,,,,,1,,275,,,,,,1,,262,,,,,,1,,244,,,,,,1,,232,,,,,,1,,239,,,,,,1,
서울특별시 영등포구 문래동5가,경유,239,,29,,,,130,17,250,,33,,,,139,20,261,,30,,,,167,143,285,,37,,,,178,77,319,3,44,11,,7,186,85,341,12,39,27,,6,188,87,378,30,33,13,,7,188,87,430,39,41,4,1,5,191,87,452,41,46,4,,5,197,91,518,20,48,2,1,5,213,12
서울특별시 영등포구 문래동5가,기타연료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
서울특별시 영등포구 문래동5가,엘피지,113,16,36,,,,20,4,110,17,32,,,,18,4,109,19,25,,,,20,3,120,19,26,,,,17,4,117,29,16,,,1,17,6,110,51,13,,,1,15,6,114,61,11,,,,13,5,111,61,9,,,,12,6,108,40,6,,,,13,6,110,30,6,,,,15,4
서울특별시 영등포구 문래동5가,하이브리드(LPG+전기),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,
서울특별시 영등포구 문래동5가,하이브리드(휘발유+전기),,,,,,,,,,,,,,,,,1,,,,,,,,5,,,,,,,,6,,,,,,,,7,,,,,,,,15,,,,,,,,25,,,,,,,,26,,,,,,,,38,,,,,,,
서울특별시 영등포구 문래동5가,휘발유,300,,,,,,,,348,,,,,,,,383,,,,,,,,401,,,,,,,,407,,,,,,,,373,,,,,,,,367,,,,,,,,382,,,,,,,,382,1,,,,,,,442,1,,,,,,
서울특별시 영등포구 문래동5가,휘발유(무연),544,,1,,,,,,556,,1,,,,,,539,,1,,,,,,495,,1,,,,,,501,14,1,,,,,,484,30,1,,,,,,471,44,1,,,,,,485,49,,,,,,,514,39,,,,,,,582,17,,,,,,
서울특별시 영등포구 문래동5가,휘발유(유연),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,3,,,,,,,
서울특별시 영등포구 문래동6가,CNG,1,,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 영등포구 문래동6가,경유,467,,50,,18,100,438,46,490,,38,,23,118,282,102,495,,41,,23,99,285,123,542,,48,,22,13,280,111,554,,55,,23,12,278,32,607,,58,,23,4,298,22,708,,66,,22,1,301,24,753,,62,,22,,310,13,796,,62,,23,,297,12,796,,62,,23,,290,16
서울특별시 영등포구 문래동6가,기타연료,,,,,,,4,29,,,,,,,4,25,,,,,,,2,26,,,,,,,2,23,,,,,,,3,23,,,,,,,3,22,,,,,,,2,22,,,,,,,2,21,,,,,,,3,21,,,,,,,3,21
서울특별시 영등포구 문래동6가,엘피지,212,110,75,,,,41,5,201,109,72,,,,43,6,199,109,59,,,,35,11,181,107,48,,1,,35,12,200,104,32,,1,,35,7,176,98,20,,2,,31,3,154,93,15,,2,,26,5,157,95,15,,1,,23,3,151,87,13,,1,,20,2,156,84,10,,2,,13,2
서울특별시 영등포구 문래동6가,전기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,
서울특별시 영등포구 문래동6가,하이브리드(LPG+전기),3,,,,,,,,3,,,,,,,,4,,,,,,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 영등포구 문래동6가,하이브리드(휘발유+전기),2,,,,,,,,4,,,,,,,,5,,,,,,,,15,,,,,,,,24,,,,,,,,26,,,,,,,,31,,,,,,,,47,,,,,,,,64,,,,,,,,84,,,,,,,
서울특별시 영등포구 문래동6가,휘발유,662,,,,,,,,747,,,,,,,,770,,,,,,,,758,,,,,,,,752,,,,,,,,759,,,,,,,,761,6,,,,,,,747,,,,,,,,720,,,,,,,,731,,,,,,,
서울특별시 영등포구 문래동6가,휘발유(무연),1066,,2,,,,,,1015,,2,,,,,,979,,2,,,,,,958,,2,,,,,,914,,2,,,,,,959,,2,,,,,,994,,1,,,,,,963,,1,,,,,,1002,,1,,,,,,982,,,,,,,
서울특별시 영등포구 문래동6가,휘발유(유연),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4,,,,,,,,5,,,,,,,
서울특별시 영등포구 양평동1가,CNG,,,,,,,,,,,,,,,,,,,,6,,,,,,,,3,,,,,,1,,6,,,,,,1,,7,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 영등포구 양평동1가,경유,277,4,73,21,24,2,471,304,320,1,81,23,27,4,461,379,357,1,83,15,26,6,481,332,388,,90,16,25,5,565,325,372,,81,17,26,3,616,325,385,,75,14,25,4,499,314,461,,80,16,25,14,530,336,499,,77,,25,24,556,427,518,,88,,26,14,562,438,496,,64,,26,13,462,375
서울특별시 영등포구 양평동1가,기타연료,,,,,,,1,1,,,,,,,2,,,,,,,,2,3,,,,,,,2,4,,,,,,,2,,,,,,,,2,,,,,,,,3,,,,,,,,4,,,,,,,,3,,,,,,,,4,
서울특별시 영등포구 양평동1가,엘피지,458,134,76,,,,52,118,484,161,78,,,,55,129,484,139,69,,,,53,129,453,110,52,,,,45,123,416,95,37,,,,35,113,411,93,28,,,,26,110,372,81,21,,,,29,108,384,81,23,,,,27,110,382,78,320,,,,26,102,327,89,20,,,,21,102
서울특별시 영등포구 양평동1가,전기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,
서울특별시 영등포구 양평동1가,하이브리드(LPG+전기),,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,3,,,,,,,,1,,,,,,,,2,,,,,,,,3,,,,,,,,3,,,,,,,,,,,,,,,
서울특별시 영등포구 양평동1가,하이브리드(휘발유+전기),,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,10,,,,,,,,12,,,,,,,,16,,,,,,,,31,,,,,,,,37,,,,,,,,33,,,,,,,
서울특별시 영등포구 양평동1가,휘발유,316,2,,,,,2,,432,1,,,,,2,,480,1,,,,,3,,671,,2,,,,2,,520,,1,,,,2,,460,,,,,,2,,429,,,,,,2,,436,,1,,,,3,,444,,1,,,,2,,428,,1,,,,4,
서울특별시 영등포구 양평동1가,휘발유(무연),634,,,,,,1,,728,,,,,,,,742,1,,,,,,,957,,,,,,,,764,,,,,,,,669,,,,,,,,643,,1,,,,,,684,,,,,,,,694,,,,,,,,629,,,,,,,
서울특별시 영등포구 양평동1가,휘발유(유연),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,1,,,,,,,
서울특별시 영등포구 양평동2가,CNG,,,,,,,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,7,,,,,,,,7,,,,,1,,,7,,,,
서울특별시 영등포구 양평동2가,경유,332,,37,,,4,180,641,325,,43,,,4,177,646,356,,50,,,4,183,632,406,,62,,,10,174,630,421,,71,,2,14,186,929,460,,71,,,19,181,916,526,66,77,9,,181,193,999,598,73,67,27,1,188,175,1029,581,85,68,23,1,180,167,1086,678,83,61,23,8,180,168,1027
서울특별시 영등포구 양평동2가,기타연료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,3,,,,,,,1,62,,,,,,,4,60,,,,,,,3,57,,,1,,,,2,79
서울특별시 영등포구 양평동2가,엘피지,147,84,38,,,,30,24,138,80,34,,,,33,20,152,79,39,,,,25,13,153,74,36,,1,,19,11,148,75,26,,,,20,10,151,75,24,,,,17,7,143,257,22,,,,15,3,140,274,13,,,,20,4,132,232,11,,,,7,4,115,204,12,,,,8,3
서울특별시 영등포구 양평동2가,전기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
서울특별시 영등포구 양평동2가,하이브리드(LPG+전기),1,,,,,,,,2,,,,,,,,2,,,,,,,,1,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,3,,,,,,,,2,,,,,,,,3,,,,,,,
서울특별시 영등포구 양평동2가,하이브리드(휘발유+전기),,,,,,,,,1,,,,,,,,3,,,,,,,,13,,,,,,,,14,,,,,,,,21,,,,,,,,20,,,,,,,,31,,,,,,,,39,,,,,,,,56,,,,,,,
서울특별시 영등포구 양평동2가,휘발유,422,,1,,,,1,,463,,1,,,,1,,495,,1,,,,2,,517,,1,,,,2,,522,,1,,,,2,,532,,1,,,,2,,523,14,1,,,,2,,536,6,1,,,,2,,520,4,1,,,,2,,525,4,1,,,,1,
서울특별시 영등포구 양평동2가,휘발유(무연),663,,2,,,,1,,616,,2,,,,,,657,,2,,,,,,642,,2,,,,,,616,,2,,,,,,612,,,,,,,,660,47,,,,,,,637,39,1,,,,,,668,57,1,,,,,,772,100,1,,,,,
서울특별시 영등포구 양평동2가,휘발유(유연),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,
서울특별시 영등포구 양평동3가,CNG,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,3,,,4,,,,,3,,,3,,,,,3,,,,,,,,3,,,,,,,,3,,1,,,,,,3,,,,,,,,3,
서울특별시 영등포구 양평동3가,경유,912,,147,,19,10,736,43,988,,135,,12,10,616,64,993,,142,,17,4,608,106,1075,1,146,,16,9,652,106,1163,,147,,18,,590,65,1227,,140,,6,1,524,66,1410,,163,4,8,1,517,123,1435,1,165,4,9,38,526,168,1578,14,138,1,9,50,513,162,1733,13,122,,11,68,519,156
서울특별시 영등포구 양평동3가,기타연료,,,1,,,,2,,,,1,,,,2,,,,1,,,,6,,,,,,,,3,,,,,,,,2,,,,1,,,,5,1,,,1,,,,6,1,,,2,,,,8,1,,,2,,,,10,1,,,2,,,,6,4
서울특별시 영등포구 양평동3가,엘피지,456,133,108,,,,74,3,487,142,93,,,,59,4,427,135,78,,,,56,4,418,132,80,,,,46,8,452,116,63,,,,41,8,427,119,56,,,,35,9,400,187,47,,,,39,3,411,158,40,,,,31,4,381,119,39,,,,38,7,315,102,30,,,,34,6
서울특별시 영등포구 양평동3가,전기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,8,,,,,,,
서울특별시 영등포구 양평동3가,하이브리드(LPG+전기),5,,,,,,,,14,,,,,,,,22,,,,,,,,22,,,,,,,,26,,,,,,,,27,,,,,,,,15,,,,,,,,4,,,,,,,,3,,,,,,,,5,8,,,,,,
서울특별시 영등포구 양평동3가,하이브리드(경유+전기),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
서울특별시 영등포구 양평동3가,하이브리드(휘발유+전기),,,,,,,,,,,,,,,,,20,,,,,,,,38,,,,,,,,44,,,,,,,,71,,,,,,,,83,,,,,,,,121,,,,,,,,111,3,,,,,,,140,6,,,,,,
서울특별시 영등포구 양평동3가,휘발유,1191,1,,,,,,,1455,,,,,,,,1407,,,,,,,,1473,,,,,,1,,1576,,,,,,,,1352,,,,,,2,,1311,8,,,,,2,,1360,1,,,,,,,1355,5,1,,,,,,1357,5,,,,,,
서울특별시 영등포구 양평동3가,휘발유(무연),1774,,2,,,,7,,1817,,1,,,,5,,1727,,1,,,,5,,1713,,1,,,,4,,1795,,,,,,4,,1768,,2,,,,4,,1788,2,1,,,,4,,1937,1,,,,,4,,1867,25,1,,,,5,,1979,25,,,,,4,
서울특별시 영등포구 양평동3가,휘발유(유연),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4,3,,,,,,,2,3,,,,,,
서울특별시 영등포구 양평동4가,CNG,,,,,,,4,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,
서울특별시 영등포구 양평동4가,경유,343,,82,38,19,162,1250,80,357,,75,33,23,151,375,83,379,,72,37,27,84,372,79,407,,73,41,31,13,376,57,431,,75,,31,8,385,31,464,,73,1,32,30,372,35,510,,67,1,32,35,384,131,582,,70,27,42,38,406,150,618,,66,24,46,33,399,199,648,,71,,47,22,570,196
서울특별시 영등포구 양평동4가,기타연료,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,,1,1
서울특별시 영등포구 양평동4가,엘피지,167,107,62,,,4,49,4,181,86,46,,,5,54,5,174,90,51,,,3,60,4,165,92,42,,2,,63,4,169,87,37,,2,,57,6,168,88,28,,2,,46,6,158,85,23,,2,,42,6,141,86,16,,2,1,38,5,154,83,13,,2,1,35,4,149,14,9,,2,1,30,3
서울특별시 영등포구 양평동4가,전기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
서울특별시 영등포구 양평동4가,하이브리드(LPG+전기),,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,4,,,,,,,,4,,,,,,,
서울특별시 영등포구 양평동4가,하이브리드(휘발유+전기),1,,,,,,,,1,,,,,,,,4,,,,,,,,13,,,,,,,,21,,,,,,,,24,,,,,,,,26,,,,,,,,32,,,,,,,,48,,,,,,,,68,1,,,,,,
서울특별시 영등포구 양평동4가,휘발유,413,2,2,,,,1,,447,,2,,,,1,,514,1,2,,,,1,,531,1,2,,,,1,,493,,2,,,,1,,490,,2,,,,1,,516,,2,,,,1,,542,,2,,,,1,,539,,1,,,,1,,550,,1,,,,3,
서울특별시 영등포구 양평동4가,휘발유(무연),739,,2,,,,2,,678,,1,,,,2,,778,,1,,,,2,,794,,2,,,,1,,730,,2,,,,,,695,2,1,,,,,,736,2,2,,,,,,724,,2,,,,,,718,,2,,,,,,746,,2,,,,,
서울특별시 영등포구 양평동4가,휘발유(유연),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,,2,,,,,,,
서울특별시 영등포구 양평동5가,CNG,,,,,,,,,,,,,,,2,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 영등포구 양평동5가,경유,349,6,45,10,,7,218,15,370,3,56,12,,1,1022,21,376,,64,10,1,1,1017,18,419,,71,9,2,49,1130,35,471,,78,,13,48,962,41,516,,70,,15,16,1009,140,596,,68,,15,13,953,118,634,,60,,14,5,1077,58,652,3,55,,16,2,1672,67,685,3,44,,23,6,1395,63
서울특별시 영등포구 양평동5가,기타연료,,,2,,,,,1,,,1,,,,,1,,,1,,,,3,1,,,,,,,2,1,,,,,,,2,1,,,1,,1,,4,1,,,1,,1,,5,1,,,1,,1,,6,1,,,1,,1,,6,1,,,1,,,,6,1
서울특별시 영등포구 양평동5가,수소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
서울특별시 영등포구 양평동5가,엘피지,140,96,40,,,,25,3,130,91,36,,,,24,3,133,83,27,,,,26,2,125,79,24,,,,24,1,137,14,24,,,,22,3,136,13,20,,,1,23,2,128,14,17,,,1,20,3,122,14,15,,,,19,3,109,84,14,,,,21,3,111,85,9,,,,16,2
서울특별시 영등포구 양평동5가,전기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,5,,,,,,,
서울특별시 영등포구 양평동5가,하이브리드(LPG+전기),1,,,,,,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,
서울특별시 영등포구 양평동5가,하이브리드(휘발유+전기),,,,,,,,,2,,,,,,,,2,,,,,,,,9,,,,,,,,10,,,,,,,,15,,,,,,,,27,,,,,,,,42,,,,,,,,66,,,,,,,,77,,,,,,,
서울특별시 영등포구 양평동5가,휘발유,428,5,1,,,,1,,491,4,1,,,,,,497,2,1,,,,,,525,2,1,,,,1,,567,,1,,,,,,586,,1,,,,,,584,,1,,,,,,553,,1,,,,,,588,1,1,,,,,,575,1,1,,,,1,
서울특별시 영등포구 양평동5가,휘발유(무연),676,1,1,,,,1,,674,,1,,,,1,,638,,1,,,,1,,700,2,1,,,,1,,724,,1,,,,1,,747,,1,,,,1,,765,,1,,,,1,,779,,2,,,,1,,791,,1,,,,1,,801,,1,,,,1,
서울특별시 영등포구 양평동5가,휘발유(유연),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,
서울특별시 영등포구 양평동6가,CNG,,,,4,,,,,,,,4,,,,,,,,4,,,,,,,,4,,,,,,,,4,,,,,,,,4,,,,,,,,4,,,,,,,,4,,,,,,,,4,,,,,,,,4,,,,
