사용본거지법정동명,연료,200912 승용 비사업용,200912 승용 사업용,200912 승합 비사업용,200912 승합 사업용,200912 특수 비사업용,200912 특수 사업용,200912 화물 비사업용,200912 화물 사업용,201012 승용 비사업용,201012 승용 사업용,201012 승합 비사업용,201012 승합 사업용,201012 특수 비사업용,201012 특수 사업용,201012 화물 비사업용,201012 화물 사업용,201112 승용 비사업용,201112 승용 사업용,201112 승합 비사업용,201112 승합 사업용,201112 특수 비사업용,201112 특수 사업용,201112 화물 비사업용,201112 화물 사업용,201212 승용 비사업용,201212 승용 사업용,201212 승합 비사업용,201212 승합 사업용,201212 특수 비사업용,201212 특수 사업용,201212 화물 비사업용,201212 화물 사업용,201312 승용 비사업용,201312 승용 사업용,201312 승합 비사업용,201312 승합 사업용,201312 특수 비사업용,201312 특수 사업용,201312 화물 비사업용,201312 화물 사업용,201412 승용 비사업용,201412 승용 사업용,201412 승합 비사업용,201412 승합 사업용,201412 특수 비사업용,201412 특수 사업용,201412 화물 비사업용,201412 화물 사업용,201512 승용 비사업용,201512 승용 사업용,201512 승합 비사업용,201512 승합 사업용,201512 특수 비사업용,201512 특수 사업용,201512 화물 비사업용,201512 화물 사업용,201612 승용 비사업용,201612 승용 사업용,201612 승합 비사업용,201612 승합 사업용,201612 특수 비사업용,201612 특수 사업용,201612 화물 비사업용,201612 화물 사업용,201712 승용 비사업용,201712 승용 사업용,201712 승합 비사업용,201712 승합 사업용,201712 특수 비사업용,201712 특수 사업용,201712 화물 비사업용,201712 화물 사업용,201812 승용 비사업용,201812 승용 사업용,201812 승합 비사업용,201812 승합 사업용,201812 특수 비사업용,201812 특수 사업용,201812 화물 비사업용,201812 화물 사업용
서울특별시 영등포구 영등포동1가,CNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 영등포구 영등포동1가,경유,35,,11,,,3,93,43,43,,13,,,2,85,43,48,,15,,,2,85,113,63,,16,,,5,100,130,68,,15,,,2,95,149,80,,21,,2,2,73,3,88,,20,,,1,77,2,96,,13,1,,1,77,3,117,,10,1,1,,66,2,137,,9,,2,,58,1
서울특별시 영등포구 영등포동1가,기타연료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 영등포구 영등포동1가,엘피지,21,,5,,,,56,,19,,6,,,,49,,24,,6,,,,44,4,30,,8,,,,43,3,31,,5,,,,38,3,35,,4,,,,25,2,34,,2,,,,13,2,26,,2,,,,9,2,21,,1,,,,7,1,29,,2,,,,6,
서울특별시 영등포구 영등포동1가,전기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,,,,,,,
서울특별시 영등포구 영등포동1가,하이브리드(LPG+전기),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,
서울특별시 영등포구 영등포동1가,하이브리드(휘발유+전기),,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,2,,,,,,,,6,,,,,,,,9,,,,,,,,10,,,,,,,,13,,,,,,,
서울특별시 영등포구 영등포동1가,휘발유,57,,,,,,,,54,,,,,,,,67,,,,,,,,89,,,,,,,,93,,,,,,,,110,,,,,,,,122,,,,,,,,125,,,,,,,,125,,,,,,,,136,,,,,,,
서울특별시 영등포구 영등포동1가,휘발유(무연),82,,,,,,,,81,,,,,,,,86,,,,,,,,105,,,,,,,,126,,,,,,,,142,,,,,,,,156,,,,,,,,165,,,,,,,,178,,,,,,,,193,,,,,,,
서울특별시 영등포구 영등포동1가,휘발유(유연),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,
서울특별시 영등포구 영등포동2가,경유,140,,63,,,36,407,72,146,,41,5,,33,376,76,150,,37,9,,33,371,109,153,,40,,,38,376,108,165,,41,6,,35,372,104,160,,37,7,1,34,354,106,193,,35,7,,35,352,120,214,,37,7,,37,341,142,232,,39,5,,10,350,74,280,,40,,,10,357,73
서울특별시 영등포구 영등포동2가,기타연료,,,,,,,,29,,,,,,,,28,,,,,,,,25,,,,,,,,30,,,,,,,,32,,,,,,,,33,,,,,,,,35,,,,,,,,35,,,,,,,,11,,,,,,,,11
서울특별시 영등포구 영등포동2가,엘피지,51,1,27,,,,43,2,45,1,26,,,,42,3,41,2,23,,,,36,3,32,2,21,,,,33,3,27,3,21,,,,31,2,30,3,13,,,,28,2,29,3,8,,,,28,2,37,3,6,,,,25,3,49,4,5,,,,26,1,51,4,6,,,,23,1
서울특별시 영등포구 영등포동2가,전기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
서울특별시 영등포구 영등포동2가,하이브리드(LPG+전기),1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,1,,,,,,,,3,,,,,,,,3,,,,,,,,3,,,,,,,
서울특별시 영등포구 영등포동2가,하이브리드(휘발유+전기),3,,,,,,,,3,,,,,,,,4,,,,,,,,7,,,,,,,,10,,,,,,,,5,,,,,,,,8,,,,,,,,9,,,,,,,,10,,,,,,,,23,,,,,,,
서울특별시 영등포구 영등포동2가,휘발유,160,,,,,,1,,167,,,,,,1,,179,,,,,,1,,178,,,,,,1,,204,,,,,,2,,199,,,,,,2,,211,,,,,,1,,211,,,,,,1,,213,,,,,,1,,233,,,,,,1,
서울특별시 영등포구 영등포동2가,휘발유(무연),188,,,,,,,,180,,,,,,,,201,,,,,,,,213,,,,,,,,229,,,,,,,,259,,,,,,,,269,,,,,,,,297,,,,,,1,,299,,,,,,1,,352,,,,,,1,
서울특별시 영등포구 영등포동3가,CNG,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,
서울특별시 영등포구 영등포동3가,경유,30,,10,,,,42,,37,,12,,1,,49,,36,,13,,1,,51,,38,,13,,1,,49,,37,,12,,1,,46,,41,,16,,1,,51,,44,,15,,1,,52,,50,,14,,1,,51,,54,,17,,2,,55,,70,,27,,2,,70,
